,Job_title,company_name,City,State,job_type,qualification,average_rating_list,company_culture,growth_opportunities,people_you_work_with,person_you_work_for,rewards_you_receive,suppport_you_get,way_you_work,work_setting,Designation,final_rating,polarity,Sentiment
0,DATA SCIENTIST,PUMA,Bengaluru,Karnataka,Not mentioned,"['Azure', 'SQL', 'Spark', 'Performance marketing', 'Deep learning', ""Bachelor's degree"", ""Master's degree""]",3.6,3.3,3.3,4.5,3.5,3.5,3,3.5,4,Scientist,3.6,0.8126,Positive
1,Associate Architect - Fullstack (Python/ Ruby and Angular),Clarivate,Bengaluru,Karnataka,Full-time,"['React', 'Continuous integration', 'SQL', '.NET', 'CI/CD', ""Bachelor's degree"", ""Master's degree""]",4.8,5,4,5,5,4,5,5,5,Associate,4.8,0.9757,Positive
2,Software Engineer,Dell Technologies,India,India,Full-time,"['DNS', 'VMWare', 'ESXi', 'Software troubleshooting', 'TCP']",3.9,3.8,3.4,4.3,4.1,3.9,3.8,4,3.9,Engineer,3.9,0.6143,Positive
3,RestartWithInfosys-EAIS-Java/Springboot/Microservices Consultant,Infosys Limited,Bengaluru,Karnataka,Not mentioned,"['APIs', 'Microservices', 'Java', ""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Consultant,4,0.8176,Positive
4,Data Annotator,Conxai Technologies GmbH,Bengaluru,Karnataka,Full-time,"['Deep learning', 'Software deployment', 'PyTorch', 'Python', 'Data science', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,3.9,4.1,3.9,Other,4,0.4404,Negative
5,Data Science Intern,Discover Dollar,Remote,Remote,Internship,"['Azure', 'NoSQL', 'MongoDB', 'Sentiment analytics', 'Git', ""Bachelor's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
6,Data Engineer-Fresher,TransUnion,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'SQL', 'Python', 'Statistics', 'AWS', ""Bachelor's degree"", ""Master's degree""]",4,4,3.5,4.5,4.1,3.9,4.1,4.3,3.9,Engineer,4,-0.783,Negative
7,Data Science/Data Analytics,Excellence and Eminence LLP,Bengaluru,Karnataka,Full-time,"['D3.js', 'SQL', 'Apache Hive', 'Tableau', 'Apache Pig']",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
8,Data Scientist,Infiniti Research,Bengaluru,Karnataka,Full-time,"['Communication skills', 'Machine learning', 'Python', 'Data science', 'Natural language processing']",3,3.1,2.5,3.6,3.5,2.6,2.6,3.6,2.9,Scientist,3,0.7494,Positive
9,Data Science & Analytics - SESG Team,Samsung Electronics,Bengaluru,Karnataka,Full-time,"['Software deployment', 'Application development', 'TensorFlow', 'C++', 'MATLAB']",3.9,3.7,3.7,4.4,4.2,3.8,3.9,4,4,Analyst,4,0.8814,Positive
10,Data Scientist,Deets Digital,Bengaluru,Karnataka,Full-time,"['Statistical analysis', 'Analysis skills', 'Communication skills', 'R', 'Machine learning']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
11,Data Science & ML Engineer,Markytics,Mumbai,Maharashtra,Full-time | Internship,"['SQL', 'Django', 'Machine learning', 'Python', 'AWS']",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
12,Data Scientist,iSOCRATES,Mysore,Karnataka,New-Grad,"['Spark', 'OOP', 'MATLAB', 'Analytics', 'Hadoop', 'Doctoral degree', ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
13,Data Analyst Intern,Fireblaze AI School,Remote,Remote,Internship,"['Power BI', 'Microsoft Excel', 'Machine learning', 'Python', 'Tableau']",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
14,Data Scientist,Infosys Limited,Bengaluru,Karnataka,Not mentioned,"['Microsoft Access', 'Analysis skills', 'SQL', 'SAS', 'Microsoft Powerpoint', ""Bachelor's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Scientist,4,0.8176,Positive
15,"Associate, Data Science",Bain & Company,Bengaluru,Karnataka,Full-time,"['SQL', 'Apache Hive', 'Fraud', 'Communication skills', 'Scala', ""Bachelor's degree""]",4.1,4,3.7,4.4,4.3,3.8,4.1,4.2,4.1,Associate,4.1,0.4404,Negative
16,Data and Business Analyst,Scarface Technology PVT LTD,Remote,Remote,Full-time | New-Grad,"['Leadership', 'Statistics', 'Data analysis skills', 'Math', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
17,Data Analyst Intern,Discover Dollar,Remote,Remote,Internship,"['Machine learning', 'Data science', 'Financial services', 'AI', ""Bachelor's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
18,Data Science Intern,Hashwide Pvt Ltd,Ernakulam,Kerala,Full-time | Internship,"['R', 'Python', 'Data analysis skills', 'Data science']",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
19,Associate Data Analytics - Freshers,BigSpire Software,Bengaluru,Karnataka,New-Grad,"['Analysis skills', 'Communication skills', 'Hadoop', 'MapReduce', ""Bachelor's degree"", ""Master's degree""]",4.1,4,3.7,4.4,4.3,3.8,4.1,4.2,4.1,Associate,4.1,0.4404,Negative
20,Analyst,IQVIA,Bengaluru,Karnataka,Full-time,"['Time management', ""Bachelor's degree""]",4.2,4.1,3.9,4.7,4.5,4,4,4.4,4,Analyst,4.2,0.9325,Positive
21,Analyst-Data Science,Accenture,Bengaluru,Karnataka,Full-time,"['Machine learning', 'Predictive analytics', 'Data mining', 'Data science', 'AI', ""Bachelor's degree"", ""Master's degree""]",4.1,4,3.8,4.4,4.3,3.8,4.1,4.2,4.1,Analyst,4.1,0.9808,Positive
22,16231-Clin Data Coord,IQVIA,Bengaluru,Karnataka,Full-time,"['Leadership', 'Medical terminology', 'Communication skills', 'Data management', 'Computer skills', ""Bachelor's degree""]",4.2,4.1,3.9,4.7,4.5,4,4,4.4,4,Other,4.2,0.9325,Positive
23,Software Engineering Manager - Python / Data Analytics,FrogData,Bengaluru,Karnataka,Full-time,"['SQL', 'SciPy', 'DevOps', 'Communication skills', 'APIs', ""Bachelor's degree""]",5,5,5,5,5,5,5,5,5,Manager,5,0.9251,Positive
24,Data Engineer,Numerator,Pune,Maharashtra,Full-time,"['Confluence', 'Data modeling', 'Azure', 'SQL', 'Jira', ""Bachelor's degree"", 'Diploma', ""Master's degree""]",3.6,3.3,2.7,4.3,4.7,3,4,3.3,3.3,Engineer,3.6,0.765,Positive
25,BI Analyst,Indeed,Bengaluru,Karnataka,Full-time,"['SQL', 'Tableau', 'NumPy', 'Pandas', 'Microsoft Powerpoint', ""Bachelor's degree""]",4.4,4.7,3.5,4.8,4.3,4.3,4.3,4.5,4.6,Analyst,4.4,-0.1779,Negative
26,Data Scientist Intern,zBliss Technologies,Bengaluru,Karnataka,Full-time | Internship,"['TensorFlow', 'Project management', 'Machine learning', 'Data management', 'Python', ""Bachelor's degree"", ""Master's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
27,Clinical Data Specialist,Labcorp,Bengaluru,Karnataka,Full-time,"['Medical terminology', 'Data management', 'Data entry', 'Time management', ""Master's degree""]",3.5,3.4,2.8,4,3.7,3.2,3.6,3.7,3.4,Other,3.5,0.9186,Positive
28,Data Engineer,Exeevo,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'Power BI', 'Azure', 'SQL', 'SSIS']",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
29,Research Analyst - Industrial Goods,Boston Consulting Group,Bengaluru,Karnataka,Full-time,"['Databases', 'Bloomberg', 'Microsoft Powerpoint', ""Bachelor's degree"", ""Master's degree""]",4,3.9,3.5,4.4,4.2,3.8,4,4.1,4,Research,4,0.4404,Negative
30,Manager Data Science (Client consulting),Visa,Bengaluru,Karnataka,Full-time,"['SQL', 'Apache Hive', 'SAS', 'Banking', 'Data analytics', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",4.1,4,3.7,4.5,4.3,4,3.9,4.1,4,Manager,4.1,0.8591,Positive
31,Data Analyst - Bangalore / Vadodara,Nielsen,Bengaluru,Karnataka,Full-time,"['Power BI', 'Marketing mix modeling', 'Microsoft Excel', 'SAS', 'Tableau', ""Master's degree""]",3.5,3.4,3,4,3.8,3.3,3.6,3.8,3.4,Analyst,3.5,-0.2748,Negative
32,Data Scientist / Decision Scientist,Maruti Suzuki India Ltd,Bengaluru,Karnataka,Full-time,"['APIs', 'Machine learning', 'Python', 'NumPy', 'Pandas']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
33,Data Scientist,Bosch Group,Bengaluru,Karnataka,Full-time,"['Azure', 'NoSQL', 'OOP', 'Communication skills', 'Agile', ""Bachelor's degree"", ""Master's degree""]",4,3.9,3.4,4.4,4.2,3.7,4,4.2,4,Scientist,4,0,Negative
34,Data Science,Globussoft Technologies,Bengaluru,Karnataka,Full-time,"['Deep learning', 'SQL', 'Machine learning', 'Python', 'NoSQL']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
35,Application Support - Technology Analyst,Infosys Limited,Coimbatore,Tamil Nadu,Not mentioned,"['React', 'CSS', 'Teaching experience', 'SaaS', 'NoSQL', ""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Analyst,4,0.8176,Positive
36,Data Science Intern,S8Vrittih Corporate Pvt Ltd,Bengaluru,Karnataka,Full-time,"['Machine learning', 'Data science']",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
37,Data Science,Kanini Software Solutions,Chennai,Tamil Nadu,Full-time,"['SQL', 'Windows', 'SAS', 'UNIX', 'Communication skills', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
38,"Technology head Data science, data analytics background",Truedge Software Solutions,Hyderabad,Telangana,Not mentioned,"['Product development', 'Data analytics', 'Full-stack development', 'Machine learning', 'Python']",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
39,Data Scientist: Advanced Analytics,IBM,Gurgaon,Haryana,Full-time,"['Machine learning', 'Data science', 'Research & development', ""Master's degree"", 'Doctoral degree']",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Analyst,4,0.9927,Positive
40,Research Associate,Thermo Fisher Scientific,Bengaluru,Karnataka,Full-time,"['Communication skills', 'Unity', 'Microsoft Powerpoint', 'Microsoft Office', 'Microsoft Word', ""Master's degree""]",4.1,4,3.7,4.4,4.3,3.8,4.1,4.2,4.1,Associate,4.1,0.4404,Negative
41,Trainee in Business Intelligence and Data Science,Beinex,Kochi,Kerala,New-Grad,"['Analysis skills', 'Power BI', 'SAS', 'Tableau', 'Presentation skills', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
42,Data Scientist,Orcapod,Bengaluru,Karnataka,Full-time,"['Power BI', 'SQL', 'Spark', 'Data visualization', 'DevOps', ""Bachelor's degree""]",4.8,5,4,5,5,4,5,5,5,Scientist,4.8,0.4939,Negative
43,Data Science Analyst,Adobe,Bengaluru,Karnataka,Full-time,"['Communication skills', 'Adobe Analytics', 'Data modeling', 'SQL', 'Analytics']",4.2,4.4,3.6,4.5,4.3,4.2,4.2,4.2,4.3,Analyst,4.2,0.5968,Positive
44,Jr Data Scientist (Remote),Think Future Technologies,Gurgaon,Haryana,Full-time,"['Relational databases', 'SQL', 'PyTorch', 'Predictive analytics', 'Pandas']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
45,Data Science Application Developer,Accenture,Hyderabad,Telangana,Full-time,"['CSS', 'SQL', 'SAS', 'Tableau', 'UNIX', ""Bachelor's degree"", ""Master's degree""]",4.1,4,3.8,4.4,4.3,3.8,4.1,4.2,4.1,Developer,4.1,0.9808,Positive
46,IT Consulting,Infosys Limited,Thiruvananthapuram,Kerala,Not mentioned,"['DevOps', '.NET', 'Java', ""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Consultant,4,0.8176,Positive
47,Data Scientist,IQM Corporation,Ahmedabad,Gujarat,Full-time,"['Elasticsearch', 'Analysis skills', 'Power BI', 'SQL', 'Spark', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
48,Data Scientist Internship,MaxgenKharadi,Pune,Maharashtra,Internship,"['Python', 'Data science', '12th Pass', 'Diploma']",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
49,Full-Stack Developer,BNY Mellon,Chennai,Tamil Nadu,Not mentioned,"['CSS', 'Relational databases', '.NET', 'Node.js', 'Application development', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
50,Data Analyst (Overnight),24-7 Intouch,Hyderabad,Telangana,Full-time,"['SQL', 'Microsoft Excel', 'SAS', 'Database design', 'Data visualization', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
51,Software Engineer 4 - Core PTE,Indeed,Hyderabad,Telangana,Full-time,"['SOAP', 'REST', 'SQL', '.NET', 'NoSQL', ""Bachelor's degree""]",4.4,4.7,3.5,4.8,4.3,4.3,4.3,4.5,4.6,Engineer,4.4,-0.1779,Negative
52,Data Scientist,HP,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'Communication skills', 'Statistics', 'Data science', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",3.9,3.8,3.3,4.4,4.1,3.6,3.9,4.1,3.9,Scientist,3.9,0.7768,Positive
53,#RestartWithInfosys-EAIS-SAP CPI Consultant,Infosys Limited,Bengaluru,Karnataka,Not mentioned,"['SAP', ""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Consultant,4,0.8176,Positive
54,Net/SQL Developer,Miles Technologies,Mumbai,Maharashtra,Full-time,"['CSS', 'Azure', 'SQL', 'Bootstrap', 'Agile', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
55,BI Manager,Indeed,Bengaluru,Karnataka,Full-time,"['SQL', 'Microsoft Powerpoint', 'Python', 'Business requirements', 'ETL', ""Bachelor's degree""]",4.4,4.7,3.5,4.8,4.3,4.3,4.3,4.5,4.6,Manager,4.4,-0.1779,Negative
56,EY - GDS Consulting - Data Scientist - Intern,EY,Kochi,Kerala,Internship,"['Project management', 'Mechanical engineering', 'Natural language processing', 'Deep learning', 'Communication skills', ""Bachelor's degree"", ""Master's degree""]",3.9,3.5,3.8,4.4,4.3,3.4,3.9,4.1,3.7,Intern,3.9,0.9535,Positive
57,Data Science- Analyst (Intern),Merkle,Pune,Maharashtra,Internship | New-Grad,"['Power BI', 'SQL', 'Analytics', 'R', 'Python']",3.7,3.5,3.5,4.3,4,2.9,3.5,3.7,4,Intern,3.7,0.9758,Positive
58,Data Analyst,NetCom Learning,Remote,Remote,Full-time,"['Analysis skills', 'SQL', 'SAS', 'Database design', 'SPSS', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
59,Data Science - Fresher/Trainee,Shyena Tech Yarns Pvt Ltd,Pune,Maharashtra,Full-time | Internship | New-Grad,"['Analysis skills', 'Power BI', 'Spark', 'Tableau', 'Pandas']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
60,Data Scientist - QuantumBlack,McKinsey & Company,Bengaluru,Karnataka,Not mentioned,"['Manufacturing', 'Git', 'Communication skills', 'Analytics', 'R', 'Doctoral degree', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
61,Intern,IBM,Bengaluru,Karnataka,Full-time,"['Java', ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Intern,4,0.9927,Positive
62,Associate Software Engineer,Revonextsoft,Bengaluru,Karnataka,Full-time | Part-time | Internship,"['Software testing', 'C++', 'OOP', 'C', 'Distributed systems', ""Bachelor's degree"", ""Master's degree""]",4.1,4,3.7,4.4,4.3,3.8,4.1,4.2,4.1,Associate,4.1,0.4404,Negative
63,Data Science Specialist,Accenture,India,India,Full-time,"['VBA', 'Microsoft Excel', 'Microsoft Powerpoint', 'Natural language processing', 'Deep learning']",4.1,4,3.8,4.4,4.3,3.8,4.1,4.2,4.1,Scientist,4.1,0.9808,Positive
64,Data Scientist,Astrotech Labs,Remote,Remote,Full-time,"['Communication skills', 'APIs', 'Python', 'Statistics', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0.4404,Negative
65,"Intern, Data Science",Micron,Hyderabad,Telangana,Internship,"['Data mining', 'Data science']",3.9,3.6,3.4,4.3,4.2,3.9,3.9,4.1,3.7,Intern,3.9,0.9601,Positive
66,Data Science Intern,Ganit,Chennai,Tamil Nadu,Internship,"['SQL', 'Microsoft Excel', 'Predictive analytics', 'R', 'Python', ""Bachelor's degree"", ""Master's degree""]",4.1,3,4,4,5,4,4,5,4,Intern,4.1,0.9001,Positive
67,Data Scientist(FromNIT/IIT),Headstart Manpower Consultants,Bengaluru,Karnataka,Full-time,"['Machine learning', 'Data science', 'AI', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
68,Data Analyst,Nielsen,Kochi,Kerala,Full-time,"['SQL', 'Spark', 'Pandas', 'Pricing', 'Communication skills', ""Bachelor's degree"", ""Master's degree""]",3.5,3.4,3,4,3.8,3.3,3.6,3.8,3.4,Analyst,3.5,-0.2748,Negative
69,DXC IT Expert ServiceDesk-L1 Agent_Backfill_2,DXC Technology,Bengaluru,Karnataka,Full-time,"['Analysis skills', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,3.9,4.1,3.9,Other,4,0.4404,Negative
70,Data science,Ultrafly Solutions Private Limited,Chennai,Tamil Nadu,Full-time,"['Data modeling', 'SQL', 'Spark', 'CRM software', 'Hadoop']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
71,Python Programming Language Data Science Practitioner,Accenture,Hyderabad,Telangana,Full-time,"['Analysis skills', 'SQL', 'Windows', 'Scrum', 'Communication skills', ""Bachelor's degree""]",4.1,4,3.8,4.4,4.3,3.8,4.1,4.2,4.1,Scientist,4.1,0.9808,Positive
72,Data Science Internship,Oracuz Infotech Pvt Ltd,Thiruvananthapuram,Kerala,Full-time | Internship | New-Grad,"['Tableau', 'Natural language processing', 'R', 'Machine learning', 'Python', ""Bachelor's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
73,Data Science Intern,prwatech technologies,Bengaluru,Karnataka,Full-time,"['Azure', 'SQL', 'Python', 'AWS', 'Data science']",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
74,Data Analyst,Osool,Hyderabad,Telangana,Full-time,"['Power BI', 'Communication skills', 'Microsoft Office', 'Database design', 'Organizational skills', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
75,SAP MII Consultant,Infosys Limited,Pune,Maharashtra,Not mentioned,"[""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Consultant,4,0.8176,Positive
76,Package Consultant: SAP EIM,IBM,Bengaluru,Karnataka,Full-time,"['Unit testing', 'Team management', 'SAP', 'Integration testing', 'Business requirements']",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Consultant,4,0.9927,Positive
77,Software Engineer II - Advertising Systems - Enterprise,Indeed,Hyderabad,Telangana,Full-time,"['C++', 'C', 'Python', 'Java', ""Bachelor's degree""]",4.4,4.7,3.5,4.8,4.3,4.3,4.3,4.5,4.6,Engineer,4.4,-0.1779,Negative
78,Data Science Engineer,Tuebora,Bengaluru,Karnataka,Not mentioned,"['Machine learning', 'Python', 'Data science', 'Natural language processing', 'AI']",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
79,"Software Engineer III, Learning & Education",Google,Bengaluru,Karnataka,Full-time,"['Distributed systems', 'System design', 'Natural language processing', 'AI', 'Software development', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
